t,x_meters,y_meters
0.0333,0.5688,1.4596
0.0667,0.3452,0.8908
0.1000,0.3160,1.5812
0.1333,0.6660,2.4222
0.1667,0.7000,1.3656
0.2000,0.2139,1.3462
0.2333,1.7713,2.9976
0.2667,0.4278,1.1323
0.3000,2.4988,3.3236
0.3333,2.8536,3.4771
0.3667,0.7487,1.3794
0.4000,3.5493,3.7279
0.4333,3.8842,3.8433
0.4667,0.1049,0.3228
0.5000,4.5674,4.0416
0.5333,4.9100,4.1139
0.5667,5.2309,4.1917
0.6000,5.5663,4.2501
0.6333,15.8676,1.4531
0.6667,0.7487,1.2943
0.7000,0.4861,1.0002
0.7333,0.0292,0.1714
0.7667,7.1608,4.3765
0.8000,16.1106,0.2281
0.8333,7.7782,4.3765
0.8667,7.9046,6.1113
0.9000,7.9046,6.1113
0.9333,0.5542,0.1762
0.9667,0.5542,0.1762
1.0000,9.3105,4.1762
1.0333,16.1592,0.3026
1.0667,9.9245,4.0179
1.1000,10.2235,3.9438
1.1333,10.5395,3.8417
1.1667,10.8263,3.7202
1.2000,11.1187,3.6054
1.2333,11.3999,3.4765
1.2667,11.7062,3.3292
1.3000,16.6211,0.0000
1.3333,12.3015,3.0272
1.3667,12.6078,2.8473
1.4000,1.3904,0.1211
1.4333,13.1768,2.4927
1.4667,1.4001,0.1227
1.5000,13.7577,2.1094
1.5333,14.0452,1.8698
1.5667,14.3411,1.6492
1.6000,16.2273,0.0142
1.6333,16.0863,0.0255
1.6667,0.0653,0.4457
1.7000,16.1204,0.0255
1.7333,0.2042,0.1795
1.8667,0.5477,0.9767
1.9000,0.4570,1.2392
1.9333,0.0000,0.8179
1.9667,7.0539,6.4182
2.0000,0.5153,1.3235
2.0333,0.1070,0.8114
2.0667,0.5250,1.3073
2.1000,15.4398,0.4655
2.1667,15.4252,0.7195
2.2000,0.0826,0.1616
